color,sentence
gray,My office is on the fourth floor of that gray six-story building
gray,He had gray hair
gray,Her socks are gray
gray,His socks are gray
gray,His sweater is gray
gray,Tom is graying fast
gray,It's a legal gray area
gray,This pencil is not gray
gray,Her hair is turning gray
gray,It's a gray stone building
gray,My father is becoming gray
gray,She has a lot of gray hair
gray,Tom has thinning gray hair
gray,The sky was gray all morning
gray,She found her first gray hair
gray,There are many shades of gray
gray,Her hair is streaked with gray
gray,Tom's hair started turning gray before he turned thirty
gray,"Even when you're old and gray, you should be able to enjoy life"
gray,"They lived in a very small house at the end of a long, gray street"
